Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo Faridabad Warehouse,Zolo Fantastic,"D-45, Sector 51, Noida",Noida,Uttar Pradesh,"28.5797807, 77.3657104","28.4586177, 77.3070471",28.5797807,77.3657104,28.4586177,77.3070471,14.6
Zolo BLR_Singasandra WH,Zolo Maiden,"P. No 84/1C Ward No 152/SG, Maruthi Nagar, Madiwala New Extension, Bengaluru, Bengaluru Urban, Karnataka, 560068",Bangalore,Karnataka,"12.9258158, 77.6157877","12.8903965, 77.6273899",12.9258158,77.6157877,12.8903965,77.6273899,4.12
Zolo Chennai Warehouse_2,Zolo Flyer,"4/11,301,4th St,Block AI,AI Block,Anna Nagar,Tamil Nadu,Chennai - 600040",Chennai,Tamil Nadu,"13.081027, 80.211072","13.0675449, 80.1491821",13.081027,80.211072,13.0675449,80.1491821,6.88
Zolo BLR_Singasandra WH,Zolo Jazz,"Bearing No 20, 5th Cross, Beguru Hobli Bangalore South Taluk, Srinivagulu, Bengaluru, Bengaluru Urban, Karnataka, 560095",Bangalore,Karnataka,"12.9389553, 77.6302619","12.8903965, 77.6273899",12.9389553,77.6302619,12.8903965,77.6273899,5.38
Zolo BLR_Singasandra WH,Zolo Aviano,"10,3rd Main Rd,Shanthi Pura,Electronic Phase II,Electronic ,Karnataka,Bangalore - 560100",Bangalore,Karnataka,"12.8481469, 77.6830408","12.8903965, 77.6273899",12.8481469,77.6830408,12.8903965,77.6273899,7.64
Zolo Chennai Warehouse_2,Zolo Habitat,"No 53,3rd street,Ravi colony,S Thomas Mount,Chennai - 600016",Chennai,Tamil Nadu,"13.0078522, 80.19252949999999","13.0675449, 80.1491821",13.0078522,80.1925295,13.0675449,80.1491821,8.11
Zolo Pune Warehouse_New,Zolo Discovery,"G.S. Residency, Sr no 268/1/A, Ananta Nagar, Hinjewadi, Pune-411057",Pune,Maharashtra,"18.600427, 73.7378985","18.6124747, 73.71542149999999",18.600427,73.7378985,18.6124747,73.7154215,2.72
Zolo Pune Warehouse_New,Zolo Insignia,"Maan, Maharashtra 411057-Pune",Pune,Maharashtra,"18.5800226, 73.706594","18.6124747, 73.71542149999999",18.5800226,73.706594,18.6124747,73.7154215,3.71
Zolo Faridabad Warehouse,Zolo Cliff,"Khasra No. 163 Village Mamura, Tehsil Dadri, Distt. Gautam Budh Nagar (UP)-Noida",Noida,Uttar Pradesh,"28.6026361, 77.3769437","28.4586177, 77.3070471",28.6026361,77.3769437,28.4586177,77.3070471,17.37
Zolo Chennai Warehouse_2,Zolo Cornerstone,"Corner stone Plot No : 63&64, Majestic Residency Layout, Semmenchery , Chennai -600119",Chennai,Tamil Nadu,"12.8565137, 80.2300401","13.0675449, 80.1491821",12.8565137,80.2300401,13.0675449,80.1491821,24.94
